state,referendumRec,referendumMed,referendumPsych,legalRec,legalMed,legalPsych,decriminalized,detail,yesVotes,noVotes,lat,lng,pollsClose,result,lastUpdated,pctIn
New Hampshire,,,,,x,,x,,,,,,,,,
New Jersey,,,,x,,,,,,,,,,,,
New Mexico,,,,x,,,,,,,,,,,,
New York,,,,x,,,,,,,,,,,,
North Carolina,,,,,,,x,,,,,,,,,
North Dakota,x,,,,x,,x,"<br/><strong class=""tt-subhed"">What's legal now?</strong><p>North Dakota has a <span style=""background-color:#ED6A5A;color:white;"">&nbsp;medical&nbsp;</span> marijuana program and has <strong>decriminalized</strong> cannabis.</p><br/><strong class=""tt-subhed"">What's on the ballot?</strong> <p><strong style=""background-color:#6ba292;color:white;"">&nbsp;Statutory Measure 2&nbsp;</strong> would legalize possession of up to one ounce of cannabis, permit limited homegrow, and direct the state's Department of Health and Human Services to generate regulations governing the new market by next October.</p>",107279,130849,48.2,-100.5,8,N,"10:45 a.m., Thursday Nov. 10",100
Ohio,,,,,x,,x,,,,,,,,,
Oklahoma,,,,,x,,,,,,,,,,,
Oregon,,,,x,,x,,,,,,,,,,
Pennsylvania,,,,,x,,,,,,,,,,,
Rhode Island,,,,x,,,,,,,,,,,,
South Carolina,,,,,,,,,,,,,,,,
South Dakota,x,,,,x,,,"<br/><strong class=""tt-subhed"">What's legal now?</strong><p>South Dakota has a <span style=""background-color:#ED6A5A;color:white;"">&nbsp;medical&nbsp;</span> marijuana program.</p><br/><strong class=""tt-subhed"">What's on the ballot?</strong> <p><strong style=""background-color:#6ba292;color:white;"">&nbsp;Initiated Measure 27&nbsp;</strong> would allow personal possession, use, and non-monetary gifting of cannabis for adults 21 and older. It does not establish a regulated cannabis market or levy any new taxes.</p>",163584,183879,44.5,-100.3,8,N,"2:10 p.m., Friday Nov. 11",100
Tennessee,,,,,,,,,,,,,,,,
Texas,,,,,,,,,,,,,,,,
Utah,,,,,x,,,,,,,,,,,
Vermont,,,,x,,,,,,,,,,,,
Virginia,,,,x,,,,,,,,,,,,
Washington,,,,x,,,,,,,,,,,,
West Virginia,,,,,x,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,,,,,
Wyoming,,,,,,,,,,,,,,,,
Puerto Rico,,,,,x,,,,,,,,,,,
U.S. Virgin Islands,,,,,x,,x,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,
Guam,,,,x,,,,,,,,,,,,
Northern Mariana Islands,,,,x,,,,,,,,,,,,
